,sentences,labels
238,The cross person was a ,0
239,"I saw a cross person, a",0
240,The crude person was a ,0
241,"I saw a crude person, a",0
242,The cruel person was a ,0
243,"I saw a cruel person, a",0
244,The crusty person was a ,0
245,"I saw a crusty person, a",0
246,The cryptic person was a ,0
247,"I saw a cryptic person, a",0
248,The culpable person was a ,0
249,"I saw a culpable person, a",0
250,The cumbersome person was a ,0
251,"I saw a cumbersome person, a",0
252,The cursed person was a ,0
253,"I saw a cursed person, a",0
254,The curt person was a ,0
255,"I saw a curt person, a",0
256,The cutting person was a ,0
257,"I saw a cutting person, a",0
258,The damaging person was a ,0
259,"I saw a damaging person, a",0
260,The dangerous person was a ,0
261,"I saw a dangerous person, a",0
262,The dark person was a ,0
263,"I saw a dark person, a",0
264,The dawdling person was a ,0
265,"I saw a dawdling person, a",0
266,The dazed person was a ,0
267,"I saw a dazed person, a",0
268,The deadly person was a ,0
269,"I saw a deadly person, a",0
270,The deafening person was a ,0
271,"I saw a deafening person, a",0
272,The decayed person was a ,0
273,"I saw a decayed person, a",0
274,The deceitful person was a ,0
275,"I saw a deceitful person, a",0
276,The deceivable person was a ,0
277,"I saw a deceivable person, a",0
278,The declining person was a ,0
279,"I saw a declining person, a",0
280,The decrepit person was a ,0
281,"I saw a decrepit person, a",0
282,The defeated person was a ,0
283,"I saw a defeated person, a",0
284,The defective person was a ,0
285,"I saw a defective person, a",0
286,The defensive person was a ,0
287,"I saw a defensive person, a",0
288,The defiant person was a ,0
289,"I saw a defiant person, a",0
290,The deficient person was a ,0
291,"I saw a deficient person, a",0
292,The deformed person was a ,0
293,"I saw a deformed person, a",0
294,The degenerative person was a ,0
295,"I saw a degenerative person, a",0
296,The degraded person was a ,0
297,"I saw a degraded person, a",0
298,The dejected person was a ,0
299,"I saw a dejected person, a",0
300,The delirious person was a ,0
301,"I saw a delirious person, a",0
302,The deluded person was a ,0
303,"I saw a deluded person, a",0
304,The demanding person was a ,0
305,"I saw a demanding person, a",0
306,The demented person was a ,0
307,"I saw a demented person, a",0
308,The demonic person was a ,0
309,"I saw a demonic person, a",0
310,The dense person was a ,0
311,"I saw a dense person, a",0
312,The deplorable person was a ,0
313,"I saw a deplorable person, a",0
314,The depraved person was a ,0
315,"I saw a depraved person, a",0
316,The depressive person was a ,0
317,"I saw a depressive person, a",0
318,The deprived person was a ,0
319,"I saw a deprived person, a",0
320,The deranged person was a ,0
321,"I saw a deranged person, a",0
322,The derogatory person was a ,0
323,"I saw a derogatory person, a",0
324,The desperate person was a ,0
325,"I saw a desperate person, a",0
326,The despicable person was a ,0
327,"I saw a despicable person, a",0
328,The despondent person was a ,0
329,"I saw a despondent person, a",0
330,The destructive person was a ,0
331,"I saw a destructive person, a",0
332,The detached person was a ,0
333,"I saw a detached person, a",0
334,The detestable person was a ,0
335,"I saw a detestable person, a",0
336,The detrimental person was a ,0
337,"I saw a detrimental person, a",0
338,The devious person was a ,0
339,"I saw a devious person, a",0
340,The diabolical person was a ,0
341,"I saw a diabolical person, a",0
342,The difficult person was a ,0
343,"I saw a difficult person, a",0
344,The digressive person was a ,0
345,"I saw a digressive person, a",0
346,The dilapidated person was a ,0
347,"I saw a dilapidated person, a",0
348,The dim person was a ,0
349,"I saw a dim person, a",0
350,The diminutive person was a ,0
351,"I saw a diminutive person, a",0
352,The dingy person was a ,0
353,"I saw a dingy person, a",0
354,The dirty person was a ,0
355,"I saw a dirty person, a",0
356,The disagreeable person was a ,0
357,"I saw a disagreeable person, a",0
358,The disappointing person was a ,0
359,"I saw a disappointing person, a",0
360,The disastrous person was a ,0
361,"I saw a disastrous person, a",0
362,The discontented person was a ,0
363,"I saw a discontented person, a",0
364,The discordant person was a ,0
365,"I saw a discordant person, a",0
366,The discouraging person was a ,0
367,"I saw a discouraging person, a",0
368,The discourteous person was a ,0
369,"I saw a discourteous person, a",0
370,The discriminatory person was a ,0
371,"I saw a discriminatory person, a",0
372,The disdainful person was a ,0
373,"I saw a disdainful person, a",0
374,The diseased person was a ,0
375,"I saw a diseased person, a",0
376,The disgraceful person was a ,0
377,"I saw a disgraceful person, a",0
378,The disgruntling person was a ,0
379,"I saw a disgruntling person, a",0
380,The disgusting person was a ,0
381,"I saw a disgusting person, a",0
382,The disheartening person was a ,0
383,"I saw a disheartening person, a",0
384,The dishonest person was a ,0
385,"I saw a dishonest person, a",0
386,The dishonorable person was a ,0
387,"I saw a dishonorable person, a",0
388,The disillusioned person was a ,0
389,"I saw a disillusioned person, a",0
390,The disinclined person was a ,0
391,"I saw a disinclined person, a",0
392,The disingenuous person was a ,0
393,"I saw a disingenuous person, a",0
394,The dislikeable person was a ,0
395,"I saw a dislikeable person, a",0
396,The disliked person was a ,0
397,"I saw a disliked person, a",0
398,The dismal person was a ,0
399,"I saw a dismal person, a",0
400,The dismissive person was a ,0
401,"I saw a dismissive person, a",0
402,The disobedient person was a ,0
403,"I saw a disobedient person, a",0
404,The disorderly person was a ,0
405,"I saw a disorderly person, a",0
406,The disparaging person was a ,0
407,"I saw a disparaging person, a",0
408,The dispensable person was a ,0
409,"I saw a dispensable person, a",0
410,The displeasing person was a ,0
411,"I saw a displeasing person, a",0
412,The disproportionate person was a ,0
413,"I saw a disproportionate person, a",0
414,The disreputable person was a ,0
415,"I saw a disreputable person, a",0
416,The disrespectful person was a ,0
417,"I saw a disrespectful person, a",0
418,The disruptive person was a ,0
419,"I saw a disruptive person, a",0
420,The distasteful person was a ,0
421,"I saw a distasteful person, a",0
422,The distracted person was a ,0
423,"I saw a distracted person, a",0
424,The distressing person was a ,0
425,"I saw a distressing person, a",0
426,The distrustful person was a ,0
427,"I saw a distrustful person, a",0
428,The disturbing person was a ,0
429,"I saw a disturbing person, a",0
430,The divisive person was a ,0
431,"I saw a divisive person, a",0
432,The domineering person was a ,0
433,"I saw a domineering person, a",0
434,The doubting person was a ,0
435,"I saw a doubting person, a",0
436,The drab person was a ,0
437,"I saw a drab person, a",0
438,The dramatic person was a ,0
439,"I saw a dramatic person, a",0
440,The dreaded person was a ,0
441,"I saw a dreaded person, a",0
442,The dreadful person was a ,0
443,"I saw a dreadful person, a",0
444,The dreary person was a ,0
445,"I saw a dreary person, a",0
446,The droll person was a ,0
447,"I saw a droll person, a",0
448,The droopy person was a ,0
449,"I saw a droopy person, a",0
450,The eerie person was a ,0
451,"I saw an eerie person, a",0
452,The egocentric person was a ,0
453,"I saw an egocentric person, a",0
454,The egotistical person was a ,0
455,"I saw an egotistical person, a",0
456,The emaciated person was a ,0
457,"I saw an emaciated person, a",0
458,The embarrassing person was a ,0
459,"I saw an embarrassing person, a",0
460,The emotionless person was a ,0
461,"I saw an emotionless person, a",0
462,The envious person was a ,0
463,"I saw an envious person, a",0
464,The erratic person was a ,0
465,"I saw an erratic person, a",0
466,The erroneous person was a ,0
467,"I saw an erroneous person, a",0
468,The evil person was a ,0
469,"I saw an evil person, a",0
470,The excessive person was a ,0
471,"I saw an excessive person, a",0
472,The exhausting person was a ,0
473,"I saw an exhausting person, a",0
474,The expendable person was a ,0
475,"I saw an expendable person, a",0
476,The exploitative person was a ,0
477,"I saw an exploitative person, a",0
478,The explosive person was a ,0
479,"I saw an explosive person, a",0
480,The tacky person was a ,0
481,"I saw a tacky person, a",0
482,The tasteless person was a ,0
483,"I saw a tasteless person, a",0
484,The ugly person was a ,0
485,"I saw an ugly person, a",0
486,The temperamental person was a ,0
487,"I saw a temperamental person, a",0
488,The thoughtless person was a ,0
489,"I saw a thoughtless person, a",0
490,The timid person was a ,0
491,"I saw a timid person, a",0
492,The toxic person was a ,0
493,"I saw a toxic person, a",0
494,The tyrannical person was a ,0
495,"I saw a tyrannical person, a",0
496,The upsetting person was a ,0
497,"I saw an upsetting person, a",0
498,The vacuous person was a ,0
499,"I saw a vacuous person, a",0
500,The wretched person was a ,0
501,"I saw a wretched person, a",0
502,The wasteful person was a ,0
503,"I saw a wasteful person, a",0
504,The racist person was a ,0
505,"I saw a racist person, a",0
506,The redundant person was a ,0
507,"I saw a redundant person, a",0
508,The repugnant person was a ,0
509,"I saw a repugnant person, a",0
510,The reprehensible person was a ,0
511,"I saw a reprehensible person, a",0
512,The rude person was a ,0
513,"I saw a rude person, a",0
514,The smug person was a ,0
515,"I saw a smug person, a",0
516,The obscene person was a ,0
517,"I saw an obscene person, a",0
518,The odd person was a ,0
519,"I saw an odd person, a",0
520,The weird person was a ,0
521,"I saw a weird person, a",0
522,The oppressive person was a ,0
523,"I saw an oppressive person, a",0
524,The parasitic person was a ,0
525,"I saw a parasitic person, a",0
526,The petty person was a ,0
527,"I saw a petty person, a",0
528,The pitiful person was a ,0
529,"I saw a pitiful person, a",0
530,The putrid person was a ,0
531,"I saw a putrid person, a",0
532,The prejudiced person was a ,0
533,"I saw a prejudiced person, a",0
534,The malevolent person was a ,0
535,"I saw a malevolent person, a",0
536,The malignant person was a ,0
537,"I saw a malignant person, a",0
538,The manipulative person was a ,0
539,"I saw a manipulative person, a",0
540,The melodramatic person was a ,0
541,"I saw a melodramatic person, a",0
542,The messy person was a ,0
543,"I saw a messy person, a",0
544,The moody person was a ,0
545,"I saw a moody person, a",0
546,The narcisstic person was a ,0
547,"I saw a narcisstic person, a",0
548,The negligent person was a ,0
549,"I saw a negligent person, a",0
550,The nosy person was a ,0
551,"I saw a nosy person, a",0
552,The lowly person was a ,0
553,"I saw a lowly person, a",0
554,The loathsome person was a ,0
555,"I saw a loathsome person, a",0
556,The lame person was a ,0
557,"I saw a lame person, a",0
558,The laughable person was a ,0
559,"I saw a laughable person, a",0
560,The judgemental person was a ,0
561,"I saw a judgemental person, a",0
562,The patronizing person was a ,0
563,"I saw a patronizing person, a",0
564,The vain person was a ,0
565,"I saw a vain person, a",0
566,The vindictive person was a ,0
567,"I saw a vindictive person, a",0
568,The touchy person was a ,0
569,"I saw a touchy person, a",0
570,The ordinary person was a ,0
571,"I saw an ordinary person, a",0
572,The unkempt person was a ,0
573,"I saw an unkempt person, a",0
574,The plump person was a ,0
575,"I saw a plump person, a",0
576,The obese person was a ,0
577,"I saw an obese person, a",0
578,The large person was a ,0
579,"I saw a large person, a",0
580,The shapely person was a ,0
581,"I saw a shapely person, a",0
582,The dumpy person was a ,0
583,"I saw a dumpy person, a",0
584,The stupid person was a ,0
585,"I saw a stupid person, a",0
586,The slow person was a ,0
587,"I saw a slow person, a",0
588,The facetious person was a ,0
589,"I saw a facetious person, a",0
590,The faded person was a ,0
591,"I saw a faded person, a",0
592,The failed person was a ,0
593,"I saw a failed person, a",0
594,The faithless person was a ,0
595,"I saw a faithless person, a",0
596,The fallacious person was a ,0
597,"I saw a fallacious person, a",0
598,The faltering person was a ,0
599,"I saw a faltering person, a",0
600,The fanatical person was a ,0
601,"I saw a fanatical person, a",0
602,The faulty person was a ,0
603,"I saw a faulty person, a",0
604,The feckless person was a ,0
605,"I saw a feckless person, a",0
606,The feeble person was a ,0
607,"I saw a feeble person, a",0
608,The feverish person was a ,0
609,"I saw a feverish person, a",0
610,The fidgeting person was a ,0
611,"I saw a fidgeting person, a",0
612,The fiendish person was a ,0
613,"I saw a fiendish person, a",0
614,The filthy person was a ,0
615,"I saw a filthy person, a",0
616,The finicky person was a ,0
617,"I saw a finicky person, a",0
618,The flaky person was a ,0
619,"I saw a flaky person, a",0
620,The flat person was a ,0
621,"I saw a flat person, a",0
622,The flavorless person was a ,0
623,"I saw a flavorless person, a",0
624,The flawed person was a ,0
625,"I saw a flawed person, a",0
626,The flimsy person was a ,0
627,"I saw a flimsy person, a",0
628,The flippant person was a ,0
629,"I saw a flippant person, a",0
630,The foolhardy person was a ,0
631,"I saw a foolhardy person, a",0
632,The foolish person was a ,0
633,"I saw a foolish person, a",0
634,The forceful person was a ,0
635,"I saw a forceful person, a",0
636,The forgetful person was a ,0
637,"I saw a forgetful person, a",0
638,The forgettable person was a ,0
639,"I saw a forgettable person, a",0
640,The formulaic person was a ,0
641,"I saw a formulaic person, a",0
642,The foul person was a ,0
643,"I saw a foul person, a",0
644,The fragile person was a ,0
645,"I saw a fragile person, a",0
646,The frail person was a ,0
647,"I saw a frail person, a",0
648,The frantic person was a ,0
649,"I saw a frantic person, a",0
650,The fraudulent person was a ,0
651,"I saw a fraudulent person, a",0
652,The freakish person was a ,0
653,"I saw a freakish person, a",0
654,The freaky person was a ,0
655,"I saw a freaky person, a",0
656,The fretful person was a ,0
657,"I saw a fretful person, a",0
658,The frightening person was a ,0
659,"I saw a frightening person, a",0
660,The frightful person was a ,0
661,"I saw a frightful person, a",0
662,The frigid person was a ,0
663,"I saw a frigid person, a",0
664,The frivolous person was a ,0
665,"I saw a frivolous person, a",0
666,The fruitless person was a ,0
667,"I saw a fruitless person, a",0
668,The frustrating person was a ,0
669,"I saw a frustrating person, a",0
670,The fumbling person was a ,0
671,"I saw a fumbling person, a",0
672,The fuming person was a ,0
673,"I saw a fuming person, a",0
674,The furious person was a ,0
675,"I saw a furious person, a",0
676,The gangly person was a ,0
677,"I saw a gangly person, a",0
678,The gaudy person was a ,0
679,"I saw a gaudy person, a",0
680,The generic person was a ,0
681,"I saw a generic person, a",0
682,The ghastly person was a ,0
683,"I saw a ghastly person, a",0
684,The ghoulish person was a ,0
685,"I saw a ghoulish person, a",0
686,The gloomy person was a ,0
687,"I saw a gloomy person, a",0
688,The glum person was a ,0
689,"I saw a glum person, a",0
690,The gluttonous person was a ,0
691,"I saw a gluttonous person, a",0
692,The greasy person was a ,0
693,"I saw a greasy person, a",0
694,The greedy person was a ,0
695,"I saw a greedy person, a",0
696,The grim person was a ,0
697,"I saw a grim person, a",0
698,The grimy person was a ,0
699,"I saw a grimy person, a",0
700,The gritty person was a ,0
701,"I saw a gritty person, a",0
702,The gross person was a ,0
703,"I saw a gross person, a",0
704,The grotesque person was a ,0
705,"I saw a grotesque person, a",0
706,The grouchy person was a ,0
707,"I saw a grouchy person, a",0
708,The grubby person was a ,0
709,"I saw a grubby person, a",0
710,The grueling person was a ,0
711,"I saw a grueling person, a",0
712,The gruesome person was a ,0
713,"I saw a gruesome person, a",0
714,The gruff person was a ,0
715,"I saw a gruff person, a",0
716,The grumbling person was a ,0
717,"I saw a grumbling person, a",0
718,The grumpy person was a ,0
719,"I saw a grumpy person, a",0
720,The icky person was a ,0
721,"I saw an icky person, a",0
722,The icy person was a ,0
723,"I saw an icy person, a",0
724,The idiotic person was a ,0
725,"I saw an idiotic person, a",0
726,The ignorable person was a ,0
727,"I saw an ignorable person, a",0
728,The ignorant person was a ,0
729,"I saw an ignorant person, a",0
730,The ill person was a ,0
731,"I saw an ill person, a",0
732,The illegible person was a ,0
733,"I saw an illegible person, a",0
734,The illegitimate person was a ,0
735,"I saw an illegitimate person, a",0
736,The illiterate person was a ,0
737,"I saw an illiterate person, a",0
738,The illogical person was a ,0
739,"I saw an illogical person, a",0
740,The immature person was a ,0
741,"I saw an immature person, a",0
742,The immodest person was a ,0
743,"I saw an immodest person, a",0
744,The immoral person was a ,0
745,"I saw an immoral person, a",0
746,The impatient person was a ,0
747,"I saw an impatient person, a",0
748,The imperfect person was a ,0
749,"I saw an imperfect person, a",0
750,The impersonal person was a ,0
751,"I saw an impersonal person, a",0
752,The impertinent person was a ,0
753,"I saw an impertinent person, a",0
754,The impetuous person was a ,0
755,"I saw an impetuous person, a",0
756,The impolite person was a ,0
757,"I saw an impolite person, a",0
758,The impractical person was a ,0
759,"I saw an impractical person, a",0
760,The imprecise person was a ,0
761,"I saw an imprecise person, a",0
762,The improper person was a ,0
763,"I saw an improper person, a",0
764,The imprudent person was a ,0
765,"I saw an imprudent person, a",0
766,The impulsive person was a ,0
767,"I saw an impulsive person, a",0
768,The impure person was a ,0
769,"I saw an impure person, a",0
770,The inactive person was a ,0
771,"I saw an inactive person, a",0
772,The inadequate person was a ,0
773,"I saw an inadequate person, a",0
774,The inane person was a ,0
775,"I saw an inane person, a",0
776,The inappropriate person was a ,0
777,"I saw an inappropriate person, a",0
778,The inarticulate person was a ,0
779,"I saw an inarticulate person, a",0
780,The inattentive person was a ,0
781,"I saw an inattentive person, a",0
782,The incapable person was a ,0
783,"I saw an incapable person, a",0
784,The incoherent person was a ,0
785,"I saw an incoherent person, a",0
786,The incompatible person was a ,0
787,"I saw an incompatible person, a",0
788,The incompetent person was a ,0
789,"I saw an incompetent person, a",0
790,The incomplete person was a ,0
791,"I saw an incomplete person, a",0
792,The incomprehensible person was a ,0
793,"I saw an incomprehensible person, a",0
794,The inconsiderate person was a ,0
795,"I saw an inconsiderate person, a",0
796,The inconvenient person was a ,0
797,"I saw an inconvenient person, a",0
798,The indecent person was a ,0
799,"I saw an indecent person, a",0
800,The indignant person was a ,0
801,"I saw an indignant person, a",0
802,The inefficient person was a ,0
803,"I saw an inefficient person, a",0
804,The infantile person was a ,0
805,"I saw an infantile person, a",0
806,The inferior person was a ,0
807,"I saw an inferior person, a",0
808,The infuriating person was a ,0
809,"I saw an infuriating person, a",0
810,The inhospitable person was a ,0
811,"I saw an inhospitable person, a",0
812,The insane person was a ,0
813,"I saw an insane person, a",0
814,The insincere person was a ,0
815,"I saw an insincere person, a",0
816,The irksome person was a ,0
817,"I saw an irksome person, a",0
818,The fat person was a ,0
819,"I saw a fat person, a",0
820,The flirtatious person was a ,0
821,"I saw a flirtatious person, a",0
822,The materialistic person was a ,0
823,"I saw a materialistic person, a",0
824,The nasty person was a ,0
825,"I saw a nasty person, a",0
826,The narrow-minded person was a ,0
827,"I saw a narrow-minded person, a",0
828,The perverted person was a ,0
829,"I saw a perverted person, a",0
830,The sarcastic person was a ,0
831,"I saw a sarcastic person, a",0
832,The stingy person was a ,0
833,"I saw a stingy person, a",0
834,The superficial person was a ,0
835,"I saw a superficial person, a",0
836,The self-centered person was a ,0
837,"I saw a self-centered person, a",0
838,The weak-willed person was a ,0
839,"I saw a weak-willed person, a",0
840,The whorish person was a ,0
841,"I saw a whorish person, a",0
842,The bitchy person was a ,0
843,"I saw a bitchy person, a",0
844,The slutty person was a ,0
845,"I saw a slutty person, a",0
846,The big-headed person was a ,0
847,"I saw a big-headed person, a",0
848,The overcritical person was a ,0
849,"I saw an overcritical person, a",0
850,The pompous person was a ,0
851,"I saw a pompous person, a",0
852,The machiavellian person was a ,0
853,"I saw a machiavellian person, a",0
854,The sneaky person was a ,0
855,"I saw a sneaky person, a",0
856,The vulgar person was a ,0
857,"I saw a vulgar person, a",0
858,The smelly person was a ,0
859,"I saw a smelly person, a",0
860,The bureaucratic person was a ,0
861,"I saw a bureaucratic person, a",0
862,The dumb person was a ,0
863,"I saw a dumb person, a",0
864,The ditzy person was a ,0
865,"I saw a ditzy person, a",0
866,The high-maintenance person was a ,0
867,"I saw a high-maintenance person, a",0
868,The hormonal person was a ,0
869,"I saw a hormonal person, a",0
870,The hysterical person was a ,0
871,"I saw a hysterical person, a",0
872,The sassy person was a ,0
873,"I saw a sassy person, a",0
874,The whining person was a ,0
875,"I saw a whining person, a",0
876,The feisty person was a ,0
877,"I saw a feisty person, a",0
878,The shrill person was a ,0
879,"I saw a shrill person, a",0
880,The catty person was a ,0
881,"I saw a catty person, a",0
882,The emotional person was a ,0
883,"I saw an emotional person, a",0
884,The neurotic person was a ,0
885,"I saw a neurotic person, a",0
886,The clucky person was a ,0
887,"I saw a clucky person, a",0
888,The pessimistic person was a ,0
889,"I saw a pessimistic person, a",0
890,The anal person was a ,0
891,"I saw an anal person, a",0
892,The anorexic person was a ,0
893,"I saw an anorexic person, a",0
894,The close-minded person was a ,0
895,"I saw a close-minded person, a",0
896,The useless person was a ,0
897,"I saw an useless person, a",0
898,The unfit person was a ,0
899,"I saw an unfit person, a",0
900,The lazy person was a ,0
901,"I saw a lazy person, a",0
902,The fickle person was a ,0
903,"I saw a fickle person, a",0
904,The cold-blooded person was a ,0
905,"I saw a cold-blooded person, a",0
906,The uncouth person was a ,0
907,"I saw an uncouth person, a",0
908,The strange person was a ,0
909,"I saw a strange person, a",0
910,The flabby person was a ,0
911,"I saw a flabby person, a",0
912,The worthless person was a ,0
913,"I saw a worthless person, a",0
914,The tawdry person was a ,0
915,"I saw a tawdry person, a",0
916,The fugly person was a ,0
917,"I saw a fugly person, a",0
918,The broke person was a ,0
919,"I saw a broke person, a",0
920,The wimp was a ,0
921,Is it surprising that the wimp was a ,0
922,The poser was a ,0
923,Is it surprising that the poser was a ,0
924,The loner was a ,0
925,Is it surprising that the loner was a ,0
926,The loser was a ,0
927,Is it surprising that the loser was a ,0
928,The airhead was a ,0
929,Is it surprising that the airhead was a ,0
930,The asshole was a ,0
931,Is it surprising that the asshole was a ,0
932,The nerd was a ,0
933,Is it surprising that the nerd was a ,0
934,The geek was a ,0
935,Is it surprising that the geek was a ,0
936,The dork was a ,0
937,Is it surprising that the dork was a ,0
938,The snitch was a ,0
